id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
699920,"Romantic hideaway , Plaça Catalunya",3590196,Anne,Eixample,la Dreta de l'Eixample,41.38758881048418,2.1653628260501145,Entire home/apt,175,2,2,2015-09-23,0.05,21,357
699927,Nice studio in Gràcia,3590691,Betina,Gràcia,la Vila de Gràcia,41.40730851110859,2.155695377055633,Entire home/apt,36,3,184,2018-09-20,2.53,1,90
700150,Luxury 2 bed suite with courtyard in city-centre,3590196,Anne,Eixample,la Dreta de l'Eixample,41.38609335940064,2.166086781452975,Entire home/apt,302,2,10,2018-10-01,0.24,21,354
702095,COZY APARTAMENT CENTER BCN W/WIFI,3603800,Tere,Eixample,la Dreta de l'Eixample,41.3932955890636,2.166268351631071,Entire home/apt,105,3,220,2018-10-09,3.14,1,332
703719,Amazing Terrace in Sagrada Familia,2114524,Ale,Eixample,la Sagrada Família,41.40267040837137,2.17803959430038,Entire home/apt,250,8,128,2018-08-28,1.82,2,119
705049,Impresionante 3 hab. Sant Pau,2579651,José Alejandro,Horta-Guinardó,el Guinardó,41.41750811993124,2.1743936649660687,Entire home/apt,380,1,36,2018-09-21,1.19,7,340
705086,2 Bedrooms 2 baths Sant Pau,2579651,José Alejandro,Horta-Guinardó,el Guinardó,41.416348963984106,2.17494703266247,Entire home/apt,700,1,14,2018-04-09,0.49,7,340
705747,"Central Place, Barcelona",3625681,Irne,Ciutat Vella,el Raval,41.37908520810458,2.165232809020644,Entire home/apt,24,1,5,2017-09-07,0.12,1,55
713340,Fantástica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.404485385050194,2.164489820097836,Private room,30,5,10,2018-09-23,0.38,2,332
713397,Piso en la fántastica Gracia,3671829,Mayte,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40523940579678,2.1640923929382896,Private room,30,5,20,2018-05-19,0.31,2,332
714400,AMAZING 3 Bedroom Sagrada Familia,2579651,José Alejandro,Eixample,la Sagrada Família,41.40259005539181,2.1723791105562023,Entire home/apt,77,31,22,2017-10-08,0.32,7,365
715036,Boho & Charming apartment near Ramblas,3682696,Montserrat,Sants-Montjuïc,el Poble Sec,41.373537642540136,2.165964140164389,Entire home/apt,141,3,175,2018-10-06,2.54,1,152
717710,Central Loft Plaza Espanya center,1432835,Angel,Eixample,la Nova Esquerra de l'Eixample,41.38019111005962,2.1455902798257687,Entire home/apt,55,3,61,2018-09-09,0.92,40,82
718469,Sagrada Familia-wifi-2rooms-air con,3705838,Luis,Eixample,la Sagrada Família,41.40498415647279,2.179882178561732,Entire home/apt,81,1,217,2018-10-08,3.27,1,257
721375,(Ollas) Born Superior Apartment,3724467,EasySleep,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38250578611458,2.182855536258604,Entire home/apt,700,3,14,2018-08-06,0.81,13,321
721378,12 Sicilia Apartment 4 bedrooms,3724467,EasySleep,Eixample,el Fort Pienc,41.398536304919666,2.176688513368147,Entire home/apt,999,3,1,2018-03-03,0.14,13,315
721470,61 Sicilia Estudio,3724467,EasySleep,Eixample,el Fort Pienc,41.39982447497379,2.177339481337916,Entire home/apt,999,3,6,2018-09-02,1.09,13,341
721471,Sicilia Studio (A1),3724467,EasySleep,Eixample,el Fort Pienc,41.39909603099184,2.176296185209234,Entire home/apt,60,1,1,2018-09-16,1,13,342
721473,51 Sicilia Apartment 2 bedrooms,3724467,EasySleep,Eixample,el Fort Pienc,41.39823785586889,2.177979801011559,Entire home/apt,999,3,3,2018-06-17,0.42,13,341
721478,1 Sicilia Superior Apartment 4 bedrooms,3724467,EasySleep,Eixample,el Fort Pienc,41.39969378299139,2.1773507572510225,Entire home/apt,700,3,7,2018-08-04,0.54,13,306
721479,2 Sicilia Superior Apartment 4 bedrooms,3724467,EasySleep,Eixample,el Fort Pienc,41.399473121370214,2.1764492838602916,Entire home/apt,700,3,11,2018-08-30,0.72,13,299
721504,Valencia Superior Apartment 3 bedrooms,3724467,EasySleep,Eixample,la Dreta de l'Eixample,41.39826281275239,2.1711107746286644,Entire home/apt,700,1,0,,,13,293
